Cue,Answer,face,emotion,gender,identity,mouth,ethnicity,base,move_1,move_2,move_3,compatibility,response_no,cue_width,cue_height,
,,C_male_1_WM05_BW/WM05_AC.jpg,angry,male,7,closed,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,EA_female_1_AF07_BW/AF07_AC.jpg,angry,female,1,closed,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,A_male_2_BM09_BW/BM09_AO.jpg,angry,male,4,open,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,EA_female_1_AF07_BW/AF07_HC.jpg,happy,female,1,closed,east asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,EA_male_1_AM07_BW/AM07_HC.jpg,happy,male,3,closed,east asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,SA_female_1_HF02_BW/HF02_AO.jpg,angry,female,5,open,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,C_female_2_WF11_BW/WF11_HO.jpg,happy,female,6,open,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,EA_male_1_AM07_BW/AM07_AC.jpg,angry,male,3,closed,east asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,SA_male_2_HM10_BW/HM10_HC.jpg,happy,male,8,closed,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,SA_male_1_AM03_BW/AM03_HO.jpg,happy,male,7,open,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,C_female_1_WF03_BW/WF03_HC.jpg,happy,female,5,closed,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,C_female_1_WF03_BW/WF03_AO.jpg,angry,female,5,open,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,EA_male_1_AM07_BW/AM07_HO.jpg,happy,male,3,open,east asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,A_female_2_BF17_BW/BF17_HO.jpg,happy,female,2,open,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
